date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,sqft_above,sqft_basement,yr_built,yr_renovated,street,city,statezip,country
0,313000.0,3.0,1.5,1340,7912,1.5,0,0,3,1340,0,1955,2005,1522,36,62,0
0,2384000.0,5.0,2.5,3650,9050,2.0,0,4,5,3370,280,1921,0,3899,35,58,0
0,342000.0,3.0,2.0,1930,11947,1.0,0,0,4,1930,0,1966,0,2291,18,26,0
0,420000.0,3.0,2.25,2000,8030,1.0,0,0,4,1000,1000,1963,0,4263,3,7,0
0,550000.0,4.0,2.5,1940,10500,1.0,0,0,4,1140,800,1976,1992,4352,31,31,0
0,490000.0,2.0,1.0,880,6380,1.0,0,0,3,880,0,1938,1994,3521,35,54,0
0,335000.0,2.0,2.0,1350,2560,1.0,0,0,3,1350,0,1976,0,2286,31,31,0
0,640000.0,4.0,2.0,1520,6200,1.5,0,0,3,1520,0,1945,2010,3846,35,54,0
0,463000.0,3.0,1.75,1710,7320,1.0,0,0,3,1710,0,1948,1994,4510,20,67,0
0,1400000.0,4.0,2.5,2920,4000,1.5,0,0,5,1910,1010,1909,1988,3025,35,48,0
0,588500.0,3.0,1.75,2330,14892,1.0,0,0,3,1970,360,1980,0,1473,33,42,0
0,365000.0,3.0,1.0,1090,6435,1.0,0,0,4,1090,0,1955,2009,2176,35,49,0
0,1200000.0,5.0,2.75,2910,9480,1.5,0,0,3,2910,0,1939,1969,2905,35,48,0
0,242500.0,3.0,1.5,1200,9720,1.0,0,0,4,1200,0,1965,0,808,18,26,0
0,419000.0,3.0,1.5,1570,6700,1.0,0,0,4,1570,0,1956,0,1060,3,6,0
0,367500.0,4.0,3.0,3110,7231,2.0,0,0,3,3110,0,1997,0,276,1,45,0
0,257950.0,3.0,1.75,1370,5858,1.0,0,0,3,1370,0,1987,2000,1147,10,73,0
0,275000.0,3.0,1.5,1180,10277,1.0,0,0,3,1180,0,1983,2009,528,27,27,0
0,750000.0,3.0,1.75,2240,10578,2.0,0,0,5,1550,690,1923,0,2722,35,54,0
0,435000.0,4.0,1.0,1450,8800,1.0,0,0,4,1450,0,1954,1979,3053,3,5,0
0,626000.0,3.0,2.25,1750,1572,2.5,0,0,3,1470,280,2005,0,2654,35,46,0
0,612500.0,4.0,2.5,2730,12261,2.0,0,0,3,2730,0,1991,0,71,5,9,0
0,495000.0,4.0,1.75,1600,6380,1.0,0,0,3,1130,470,1959,1989,1687,35,60,0
